question, answer
What is the Home Secretary responsible for?, Crime; policing and immigration
Do any Church of England bishops sit in the House of Lords?, Yes
What is the status of St Helena?, British Overseas Territory; not part of the UK
When did Ireland become a republic?, 1949; following the Republic of Ireland Act 1948
Under which king did the Anglo-Saxon kingdoms in England unite to defeat the Vikings?, King Alfred the Great
When was the Magna Carta created?, 1215; King John
How many members does a jury have in England; Wales and Northern Ireland?, 12. The seeds of the modern justice system were sown by Henry II (1154-1189); who established a jury of 12 local knights to settle disputes over the ownership of land.
Is St Patrick’s day a public holiday in Northern Ireland?, True. Scotland and Northern Ireland have their patron saint’s day as an official holiday (although in Scotland not all businesses and offices will close).
Who was the first person in England to print books using a printing press?, William Caxton; 15th century
What did the Scottish John Logie Baird develop?, The television in the 1920s.
Does Wales have its own esrtablished church?, False. There is no established Church in Wales or Northern Ireland.
What is New Year’s Eve called in Scotland?, Hogmanay
Who was supported by clansmen from the Scottish highlands and raised and army in 1745?, Bonnie Prince Charlie
Which jubilee did Queen Elizabeth II celebrate in 2012?, Diamond Jubilee (60 years as queen).
What was the last battle between Great Britain and France?,  The Battle of Waterloo was fought on Sunday; 18 June 1815; near Waterloo in the United Kingdom of the Netherlands; now in Belgium.
How often are general elections held in the UK?, MPs are elected at a General Election; which is held at least every five years.
When did women get the right to vote at the same age as men?, 1928
How old do you have to be to stand as MP?, 18
Who developed the radar?, Robert Watson-Watt
By law; which TWO types of media have to give a balanced coverage of all political parties and equal time to rival viewpoints before an election?, By law; radio and television coverage of the political parties must be balanced and so equal time has to be given to rival viewpoints.
What king was defeated by Oliver Cromwell during the Civil War and hid in an oak tree before escaping to Europe?, Charles II
What was the 'Glorious Revolution'?, In 1688 William of Orange was asked by Protestants to invade England and proclaim himself king. But when William reached England there was no resistance and he took over the throne.
What was the Boer War (1899-1902)?, The Second Boer War (also known as the Boer War; the Anglo–Boer War or the South African War) was a conflict fought between the British Empire and the two Boer Republics over the Empire's influence in Southern Africa. Boers: descendants of the Dutch-speaking Free Burghers of the eastern Cape frontier in Southern Africa.
Who minted the first coins in Britain?, The people of the Iron Age made the first coins to be minted in Britain
Which king was executed in 1649?, Charles I
Which two political parties formed a coalition in 2010?, In May 2010 the Conservative and Liberal Democrat parties formed a coalition and the leader of the Conservative Party - David Cameron - became Prime Minister.
Which court deals with minor criminal offences in Scotland?, In Scotland minor criminal offences go to a Justice of the Peace Court.